pep_id,pep_group,species,representative_mass,log10_area,rt,peptaibol_group,match_group,isotopic_group,serie_group
pep_1087,cf_1,Clonostachys farinosa,1087.70308,4.069298012,6.9112,fn_7_1,1,1,2
pep_1089,cc_1,Clonostachys chloroleuca,1087.70308,4.14082218,7.2169,cc_1,1,1,3
pep_1101,cc_2,Clonostachys chloroleuca,1101.68322,4.106190897,7.9798,cc_1_2,2,2,1
pep_1103,cc_2,Clonostachys chloroleuca,1101.68322,4.149527014,8.2131,cc_1_2,2,2,3
pep_1109,cf_3,Clonostachys farinosa,1109.74832,3.599883072,9.6528,fn_11,3,NA,4
pep_1109,cp_3,Clonostachys pseudochroleuca,1109.76088,5.331224781,9.6106,cp_9,3,NA,NA
pep_1191,cr_4,Clonostachys rogersoniana,1191.74162,5.010723865,6.8903,rg_2,4,NA,5
pep_1191,cf_4,Clonostachys farinosa,1191.75018,4.412796429,7.192,fn_4_1,4,NA,5
pep_1191,cp_4,Clonostachys pseudochroleuca,1191.7509,5.407050815,6.9279,cp_4,4,NA,5
pep_1193,cf_5,Clonostachys farinosa,1193.77044,3.585799009,10.657,fn_4_1,5,3,NA
pep_1195,cf_5,Clonostachys farinosa,1193.77044,3.567261692,10.5557,fn_4_1,5,3,NA
pep_1205,cr_6,Clonostachys rogersoniana,1205.75156,5.064083436,7.1181,rg_2_2,6,NA,7
pep_1205,cp_6,Clonostachys pseudochroleuca,1205.76904,5.207365037,6.8665,cp_4_4,6,NA,NA
pep_1219,cr_7,Clonostachys rogersoniana,1219.76532,5.154423973,7.2274,rg_2_3,7,NA,6
pep_1219,cp_7,Clonostachys pseudochroleuca,1219.77998,5.352568386,7.2999,cp_4_3,7,NA,7
pep_1509,cp_8,Clonostachys pseudochroleuca,1509.26782,5.114944416,7.6651,cp_11_1,8,NA,NA
pep_1509,cf_8,Clonostachys farinosa,1509.27886,4.653983907,7.7344,fn_3,8,NA,NA
pep_1772,cc_9,Clonostachys chloroleuca,1772.07958,4.641077313,7.7975,cc_3,9,NA,12
pep_1772,cp_9,Clonostachys pseudochroleuca,1772.0947,5.673849977,7.7837,cp_2,9,NA,NA
pep_1774,cc_10,Clonostachys chloroleuca,1774.05838,4.24674471,7.2278,cc_3,10,4,NA
pep_1775,cc_10,Clonostachys chloroleuca,1774.05838,4.229425848,7.2278,cc_9,10,4,NA
pep_1786,cp_11,Clonostachys pseudochroleuca,1786.10952,5.731346976,8.0014,cp_2_1,11,5,12
pep_1787,cc_11,Clonostachys chloroleuca,1786.10952,4.085290578,7.6049,cc_3_3,11,5,13
pep_1800,cc_12,Clonostachys chloroleuca,1800.10822,4.232487866,7.9798,cc_3_2,12,6,12
pep_1801,cc_12,Clonostachys chloroleuca,1800.10822,4.28510703,8.0706,cc_3_2,12,6,13
